"site";"year";"sample";"N1y_t1";"MAY_t";"JUN_t";"JUL_t";"AUG_t";"SEP_t";"OCT_t";"NOV_t";"DEC_t";"JAN_t1";"FEB_t1";"MAR_t1";"APR_t1";"MAY_t1";"JUN_t1";"JUL_t1"
"Lomnishniy";"2012";"3";0;;;;;;;;;;;;;;;
"Lomnishniy";"2012";"4";60;;;;;;;;;;;;;;;
"Lomnishniy";"2012";"5";0;;;;;;;;;;;;;;;
"Lomnishniy";"2012";"6";240;;;;;;;;;;;;;;;
"Lomnishniy";"2012";"7";390;;;;;;;;;;;;;;;
"Lomnishniy";"2012";"8";0;;;;;;;;;;;;;;;
"Lomnishniy";"2012";"9";30;;;;;;;;;;;;;;;
"razrez2";"1992";"II-1";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-10";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-11";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-12";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-13";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-14";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-15";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-16";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-17";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-18";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-19";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-2";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-20";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-3";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-4";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-5";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-6";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-7";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-8";0;;;;;;;;;;;;;;;
"razrez2";"1992";"II-9";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-1";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-10";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-11";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-12";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-13";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-14";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-15";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-16";30;;;;;;;;;;;;;;;
"razrez2";"1993";"II-17";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-18";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-19";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-2";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-20";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-3";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-4";60;;;;;;;;;;;;;;;
"razrez2";"1993";"II-5";30;;;;;;;;;;;;;;;
"razrez2";"1993";"II-6";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-7";30;;;;;;;;;;;;;;;
"razrez2";"1993";"II-8";0;;;;;;;;;;;;;;;
"razrez2";"1993";"II-9";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-1";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-10";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-11";120;;;;;;;;;;;;;;;
"razrez2";"1994";"II-12";30;;;;;;;;;;;;;;;
"razrez2";"1994";"II-13";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-14";30;;;;;;;;;;;;;;;
"razrez2";"1994";"II-15";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-16";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-17";60;;;;;;;;;;;;;;;
"razrez2";"1994";"II-18";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-19";30;;;;;;;;;;;;;;;
"razrez2";"1994";"II-2";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-20";30;;;;;;;;;;;;;;;
"razrez2";"1994";"II-3";30;;;;;;;;;;;;;;;
"razrez2";"1994";"II-4";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-5";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-6";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-7";60;;;;;;;;;;;;;;;
"razrez2";"1994";"II-8";0;;;;;;;;;;;;;;;
"razrez2";"1994";"II-9";0;;;;;;;;;;;;;;;
"razrez2";"1995";"II-1";0;;;;;;;;;;;;;;;
"razrez2";"1995";"II-10";240;;;;;;;;;;;;;;;
"razrez2";"1995";"II-11";60;;;;;;;;;;;;;;;
"razrez2";"1995";"II-12";150;;;;;;;;;;;;;;;
"razrez2";"1995";"II-13";150;;;;;;;;;;;;;;;
"razrez2";"1995";"II-14";60;;;;;;;;;;;;;;;
"razrez2";"1995";"II-15";0;;;;;;;;;;;;;;;
"razrez2";"1995";"II-16";120;;;;;;;;;;;;;;;
"razrez2";"1995";"II-17";90;;;;;;;;;;;;;;;
"razrez2";"1995";"II-18";0;;;;;;;;;;;;;;;
"razrez2";"1995";"II-19";60;;;;;;;;;;;;;;;
"razrez2";"1995";"II-2";0;;;;;;;;;;;;;;;
"razrez2";"1995";"II-20";0;;;;;;;;;;;;;;;
"razrez2";"1995";"II-3";90;;;;;;;;;;;;;;;
"razrez2";"1995";"II-4";450;;;;;;;;;;;;;;;
"razrez2";"1995";"II-5";0;;;;;;;;;;;;;;;
"razrez2";"1995";"II-6";0;;;;;;;;;;;;;;;
"razrez2";"1995";"II-7";30;;;;;;;;;;;;;;;
"razrez2";"1995";"II-8";90;;;;;;;;;;;;;;;
"razrez2";"1995";"II-9";120;;;;;;;;;;;;;;;
"razrez2";"1996";"II-1";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-10";30;;;;;;;;;;;;;;;
"razrez2";"1996";"II-11";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-12";30;;;;;;;;;;;;;;;
"razrez2";"1996";"II-13";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-14";0;;;;;;;;;;;;;;;
"razrez2";"1996";"II-15";0;;;;;;;;;;;;;;;
