month;date;year;m0;m5;m10;m15;m25;m50;m65
8;19;1986;11;10,7;5,5;3,7;1,7;1;0,9
8;30;1986;9;9,4;10;10;9,9;3,3;2,8
9;10;1986;9,1;9,5;9,6;9,5;8,8;2,1;2
9;22;1986;7,6;8,5;8,5;8,5;8,2;3,7;3,4
9;30;1986;7,3;7,3;7,3;7,3;7,5;3;2,1
10;9;1986;5,8;5,8;5,9;5,9;5,9;0,7;0,4
10;20;1986;4,6;4,6;4,6;4,3;2,7;1,8;1,7
10;29;1986;3,8;3,7;3,4;3;2,4;1,4;1,2
11;15;1986;1,5;1,6;1,8;1,9;2;1,6;1,4
12;15;1986;-0,9;-0,9;-0,9;-0,9;-0,9;0,6;0,6
1;15;1987;-0,2;-0,3;-0,4;-0,3;-0,2;0,2;0,3
2;17;1987;-0,2;-0,3;-0,4;-0,5;-0,3;0;0
3;16;1987;-0,2;-1,1;-1;-0,9;-0,6;-0,4;-0,4
3;31;1987;0,1;-1,1;-1,1;-0,7;-0,5;-0,4;-0,4
4;9;1987;-1;-1,2;-1;-0,9;-0,7;-0,4;-0,4
4;21;1987;-1;-1,1;-1;-0,7;-0,5;-0,5;-0,5
4;30;1987;-0,6;-0,6;-0,5;-0,5;-0,3;-0,5;-0,7
5;20;1987;4,2;0,6;0;-0,3;-0,6;-0,5;-0,5
6;1;1987;5,6;0,6;-0,1;-0,4;-0,5;-0,7;-0,8
6;10;1987;6,1;6,1;4;3,6;0,6;-0,7;-0,7
6;20;1987;8,6;4,5;3,6;2,7;1;-0,5;-0,7
7;1;1987;11;9;5;4;1,5;-0,5;-0,6
7;9;1987;11,7;11,5;10;4;0,2;-0,5;-0,6
7;19;1987;12,8;12,3;9;1,4;0,1;-0,5;-0,5
7;30;1987;10,3;10;8,6;6,7;1;-0,3;-0,3
8;10;1987;11,8;12;12;12;11,2;1,6;1,2
8;19;1987;11,3;11,3;11,2;10,3;7;0,6;0,2
9;1;1987;10,2;10,8;10,7;9,7;5;0,3;0,1
9;13;1987;10,2;10;9,2;8,7;6,8;1,7;1,5
9;23;1987;8;10;9,9;8,8;5,3;1,6;1,5
10;1;1987;8,1;8,4;8,5;8,5;8,3;3,1;2,6
10;11;1987;6,6;6,6;5;4,2;1,8;0,7;0,6
10;20;1987;5,9;5,9;6;5,3;4,1;1,7;1,3
1;15;1988;-0,6;-0,9;-1;-1,1;-0,9;0,1;0,2
2;15;1988;-1;-1;-1;-1;-0,2;0;0
3;15;1988;-1,2;-1,2;-1;-0,9;-0,4;-0,2;-0,2
4;1;1988;-0,7;-1,3;-1,2;-1;-0,4;-0,4;-0,4
5;23;1988;5,4;1;-0,3;-0,5;-0,6;-0,7;-0,8
6;3;1988;6,3;6,2;5,6;1,5;-0,4;-0,8;-0,8
6;11;1988;8;8;7,7;0,5;-0,4;-0,6;-0,8
6;20;1988;10,1;8;1,3;-0,3;-0,5;-0,9;-0,9
6;30;1988;15,6;13,6;6;1;0;-0,6;-0,7
7;9;1988;14,4;14,4;12,7;10;4,2;0,4;0,3
7;19;1988;15,8;15,8;12,5;10,2;4,6;0,1;0
7;29;1988;16,8;16,6;15;13;3,4;0;-0,1
8;10;1988;15,4;15,4;15,4;15,4;12,5;2,4;2,4
8;22;1988;13,8;13,8;13,8;13;6;0,8;0,5
9;2;1988;13,6;13,6;13,5;12;6,5;2,2;2
9;10;1988;13,3;13,3;13,2;11,8;7;2,1;2
9;20;1988;10;10,3;10;7,8;2,5;0,5;0,5
10;1;1988;7,3;7,3;7;5,5;4,4;2,1;2
10;12;1988;5,2;5,2;5;4;1,2;0,3;0,2
10;20;1988;4;4;4,1;4,2;3,9;1,3;1,1
11;2;1988;0,6;0,7;0,7;0,7;0,6;0,3;0,1
11;16;1988;-0,4;-0,3;-0,2;-0,1;0,1;0,3;0,3
1;23;1989;-1;-1;-1;-1;-0,9;-0,6;-0,5
2;20;1989;-1;-1,4;-1,3;-1,2;-0,8;-0,5;-0,5
3;15;1989;-0,8;-1;-1;-1;-0,9;-0,7;-0,7
4;14;1989;-0,6;-0,8;-0,8;-1;-0,7;-0,7;-0,7
5;10;1989;6,1;0,2;0;-0,2;-0,6;-0,8;-0,9
5;20;1989;4,4;4;1;0,4;-0,6;-0,9;-1
5;31;1989;3,6;3,2;-0,2;-0,7;-0,9;-0,9;-1
6;11;1989;9;7;6,3;4;1;-0,8;-0,8
6;21;1989;11,4;5;1,8;0,5;-0,3;-0,7;-0,8
7;1;1989;15,9;6;2,1;1,4;;-0,5;-0,6
7;10;1989;12,7;12,5;9;2,7;0,5;-0,2;-0,3
7;20;1989;13,2;13;11;8,2;3,7;0,5;0,3
7;31;1989;14;13,5;9,5;6;2,4;1,2;1,1
8;10;1989;15;14,5;14,1;12,8;8;2,9;2,4
8;19;1989;15;15;14;13;5;2,5;2,2
8;30;1989;12,4;12,4;12,4;12,2;4,5;1,6;1,6
9;10;1989;10,6;10,6;10,6;10,5;6,7;3;2,9
9;19;1989;9,7;9,7;9,6;9;5,5;2,3;2,1
10;1;1989;7,7;7,7;7,7;7,7;6,5;3,2;3,2
10;10;1989;6,3;6,4;6,5;6,5;6,6;3,3;3,2
10;19;1989;5,2;5,2;5,2;5,3;5,5;3,9;3,8
10;30;1989;4;4;4,3;4,5;5,2;3,5;3,4
1;17;1990;-1,4;-1,3;-1,2;-1,2;-1;-0,6;-0,4
2;21;1990;-1;-1;-1;-1;-1;-0,7;-0,6
3;15;1990;-0,1;-0,1;-0,1;-0,1;-0,8;-0,5;-0,5
4;2;1990;-1;-1;-1;-1;-0,9;-0,6;-0,6
4;13;1990;-0,6;-0,7;-0,9;-1;-0,7;-0,7;-0,7
5;19;1990;3,2;3;0,2;-0,2;-0,6;-0,9;-0,9
5;30;1990;4,3;0,8;0,2;-0,2;-0,6;-0,8;-0,8
6;11;1990;6,7;5;3,8;3,6;2,5;-0,5;-0,6
