year;sample;Length.mm
1999;mbb1;1,2
1999;mbb1;1,6
1999;mbb1;1,2
1999;mbb1;0,9
1999;mbb1;1,4
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1
1999;mbb1;1,1
1999;mbb1;1,2
1999;mbb1;1,6
1999;mbb1;1,4
1999;mbb1;1,1
1999;mbb1;0,8
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;1,1
1999;mbb1;0,7
1999;mbb1;1,6
1999;mbb1;1
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1,4
1999;mbb1;1,4
1999;mbb1;0,9
1999;mbb1;0,6
1999;mbb1;0,7
1999;mbb1;1,3
1999;mbb1;1,1
1999;mbb1;0,6
1999;mbb1;1,2
1999;mbb1;1,6
1999;mbb1;0,7
1999;mbb1;1,1
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;0,6
1999;mbb1;0,7
1999;mbb1;0,8
1999;mbb1;1,5
1999;mbb1;1,2
1999;mbb1;0,9
1999;mbb1;1,7
1999;mbb1;0,9
1999;mbb1;1,6
1999;mbb1;1,3
1999;mbb1;0,6
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1,1
1999;mbb1;1
1999;mbb1;0,9
1999;mbb1;0,7
1999;mbb1;0,9
1999;mbb1;0,9
1999;mbb1;0,9
1999;mbb1;1,1
1999;mbb1;1
1999;mbb1;1,7
1999;mbb1;1,3
1999;mbb1;0,7
1999;mbb1;1,1
1999;mbb1;0,9
1999;mbb1;1
1999;mbb1;1,4
1999;mbb1;2,2
1999;mbb1;1,2
1999;mbb1;0,7
1999;mbb1;0,8
1999;mbb1;1,1
1999;mbb1;1,2
1999;mbb1;1,1
1999;mbb1;1,1
1999;mbb1;1,2
1999;mbb1;1,2
1999;mbb1;1
1999;mbb1;0,7
1999;mbb1;1,3
1999;mbb1;1
1999;mbb1;1,2
1999;mbb1;0,6
1999;mbb1;0,9
1999;mbb1;0,6
1999;mbb1;1,1
1999;mbb1;1
1999;mbb1;1,1
1999;mbb1;1
1999;mbb1;0,7
1999;mbb1;0,6
1999;mbb1;0,9
1999;mbb1;0,7
1999;mbb1;0,7
1999;mbb1;0,9
1999;mbb1;0,6
1999;mbb1;1
1999;mbb1;0,9
1999;mbb1;0,8
1999;mbb1;0,7
1999;mbb1;0,9
1999;mbb1;1,2
1999;mbb1;0,8
1999;mbb1;0,9
1999;mbb1;1,4
1999;mbb1;1
1999;mbb1;0,6
1999;mbb1;1,1
1999;mbb1;0,7
1999;mbb1;0,5
1999;mbb1;1,1
1999;mbb1;0,5
1999;mbb1;0,7
1999;mbb1;1,2
1999;mbb1;0,6
1999;mbb1;0,9
1999;mbb1;1,1
1999;mbb1;0,6
1999;mbb1;0,6
1999;mbb1;1
1999;mbb1;1,8
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1,2
1999;mbb1;0,6
1999;mbb1;0,8
1999;mbb1;1,1
1999;mbb1;0,9
1999;mbb1;1
1999;mbb1;0,9
1999;mbb1;1
1999;mbb1;1,3
1999;mbb1;1,1
1999;mbb1;1
1999;mbb1;0,7
1999;mbb1;0,9
1999;mbb1;1
1999;mbb1;0,5
1999;mbb1;0,8
1999;mbb1;0,9
1999;mbb1;0,6
1999;mbb1;0,8
1999;mbb1;1
1999;mbb1;1,3
1999;mbb1;1,7
1999;mbb1;1,3
1999;mbb1;1
1999;mbb1;1,1
1999;mbb1;1,5
1999;mbb1;1
1999;mbb1;0,7
1999;mbb1;0,6
1999;mbb1;1,2
1999;mbb1;1
1999;mbb1;0,7
1999;mbb1;0,9
1999;mbb1;1
1999;mbb1;0,9
1999;mbb1;1,2
1999;mbb1;1,2
1999;mbb1;1
1999;mbb1;0,8
1999;mbb1;0,9
1999;mbb1;0,8
1999;mbb1;1,4
1999;mbb1;3,5
1999;mbb1;3,1
1999;mbb1;2
1999;mbb1;1,2
1999;mbb1;1,5
1999;mbb1;0,9
1999;mbb1;1,9
1999;mbb1;1,9
1999;mbb1;1,5
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;1
1999;mbb1;1,7
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1,3
1999;mbb1;1,2
1999;mbb1;1,7
1999;mbb1;1,8
1999;mbb1;1,1
1999;mbb1;1,1
1999;mbb1;1,3
1999;mbb1;2,1
1999;mbb1;1,3
1999;mbb1;1,2
1999;mbb1;1,1
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;1
1999;mbb1;1,2
1999;mbb1;1,1
1999;mbb1;1,1
1999;mbb1;1,1
1999;mbb1;1,5
1999;mbb1;1
1999;mbb1;1,2
1999;mbb1;1,1
1999;mbb1;1,5
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;1,9
1999;mbb1;1,2
1999;mbb1;1,1
1999;mbb1;1,1
1999;mbb1;1,1
1999;mbb1;1,4
1999;mbb1;1,5
1999;mbb1;1,4
1999;mbb1;1,2
1999;mbb1;1,1
1999;mbb1;1,2
1999;mbb1;1,6
1999;mbb1;1,1
1999;mbb1;0,9
1999;mbb1;1,3
1999;mbb1;1
1999;mbb1;1,6
1999;mbb1;0,9
1999;mbb1;0,7
1999;mbb1;1,2
1999;mbb1;1,2
1999;mbb1;1,3
1999;mbb1;1,5
1999;mbb1;1
1999;mbb1;0,9
1999;mbb1;1,2
1999;mbb1;1,2
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;1,1
1999;mbb1;1,4
1999;mbb1;1,1
1999;mbb1;1
1999;mbb1;1,3
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;0,7
1999;mbb1;1,1
1999;mbb1;1
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;1
1999;mbb1;1,1
1999;mbb1;1,3
1999;mbb1;1,5
1999;mbb1;1,1
1999;mbb1;1,1
