area;tidal;year;N.1year;N.8mm;N.old;Nall.1mm;January;Febryary;Marts;April;May;June;July;August;September;October;November;December
Goreliy;middle;2011;140;320;1010;1210;-12,9;-17,2;-5,1;2,1;6,3;14,0;16,3;12,0;9,1;4,0;-1,8;-2,5
Goreliy;middle;2012;200;650;1510;1790;-11,4;-14,9;-5,0;-1,0;6,4;11,2;14,0;11,7;8,1;1,3;-2,5;-14,5
Goreliy;low;1992;0;10;50;50;-10;-6,2;-2,3;-5;6,9;11,8;12;10,3;9,2;-5,7;-8,3;-4
Goreliy;low;1993;25;55;157,5;182,5;-8,6;-8,8;-6,1;-2,6;5,3;9,4;14,6;12,1;3,4;-1,6;-6,4;-10,4
Goreliy;low;1994;70;510;1750;1820;-13;-12,8;-6,2;1,2;3,2;11,5;14,2;12,2;6,1;0,6;-6,3;-5,4
Goreliy;low;1995;230;560;1420;1750;-7,8;-7,9;-3,0;-0,3;4,5;12,5;12,7;11,4;6,5;1,2;-9,2;-14,7
Goreliy;low;1996;0;330;470;470;-9,0;-12,4;-6,4;-1,9;2,7;9,2;12,4;13,5;5,7;2,3;-2,5;-9,4
Goreliy;low;1997;0;160;180;180;-13,4;-11,3;-5,3;-3,6;3,5;11,8;14,6;13,6;8,3;0,0;-5,8;-9,2
Goreliy;low;1998;280;200;1870;2320;-12,0;-21,3;-9,7;-4,0;3,8;9,8;16,3;11,1;7,0;1,2;-8,1;-10,7
Goreliy;low;1999;1510;250;2540;4240;-16,5;-13,3;-7,0;0,0;1,5;13,3;14,7;10,7;8,3;3,4;-4,2;-10,3
Goreliy;low;2000;150;230;1160;1350;-10,8;-10,0;-4,4;0,5;5,4;12,2;16,0;12,8;7,4;5,2;-1,7;-8,0
Goreliy;low;2001;110;340;2090;2240;-5,2;-12,7;-11,1;-0,3;4,6;13,2;15,6;11,7;7,2;0,8;-7,3;-11,5
Goreliy;low;2002;100;30;600;730;-12,7;-10,0;-6,7;-0,1;5,4;12,4;15,6;11,7;6,2;-0,7;-10,9;-12,0
