"oneyear.int";"year";"sample";"Freq"
"906";"(1.2,1.8]";"2008";"me11";NA
"910";"(1.2,1.8]";"2009";"me11";NA
"914";"(1.2,1.8]";"2010";"me11";NA
"918";"(1.2,1.8]";"2011";"me11";1
"922";"(1.2,1.8]";"2012";"me11";NA
"926";"(1.2,1.8]";"1992";"me12";NA
"930";"(1.2,1.8]";"1993";"me12";NA
"934";"(1.2,1.8]";"1994";"me12";NA
"938";"(1.2,1.8]";"1995";"me12";NA
"942";"(1.2,1.8]";"1996";"me12";NA
"946";"(1.2,1.8]";"1997";"me12";NA
"950";"(1.2,1.8]";"1998";"me12";NA
"954";"(1.2,1.8]";"1999";"me12";NA
"958";"(1.2,1.8]";"2000";"me12";NA
"962";"(1.2,1.8]";"2001";"me12";NA
"966";"(1.2,1.8]";"2002";"me12";NA
"970";"(1.2,1.8]";"2003";"me12";NA
"974";"(1.2,1.8]";"2004";"me12";NA
"978";"(1.2,1.8]";"2005";"me12";NA
"982";"(1.2,1.8]";"2006";"me12";NA
"986";"(1.2,1.8]";"2007";"me12";NA
"990";"(1.2,1.8]";"2008";"me12";NA
"994";"(1.2,1.8]";"2009";"me12";NA
"998";"(1.2,1.8]";"2010";"me12";NA
"1002";"(1.2,1.8]";"2011";"me12";5
"1006";"(1.2,1.8]";"2012";"me12";NA
"1010";"(1.2,1.8]";"1992";"me13";NA
"1014";"(1.2,1.8]";"1993";"me13";NA
"1018";"(1.2,1.8]";"1994";"me13";NA
"1022";"(1.2,1.8]";"1995";"me13";NA
"1026";"(1.2,1.8]";"1996";"me13";NA
"1030";"(1.2,1.8]";"1997";"me13";NA
"1034";"(1.2,1.8]";"1998";"me13";NA
"1038";"(1.2,1.8]";"1999";"me13";NA
"1042";"(1.2,1.8]";"2000";"me13";NA
"1046";"(1.2,1.8]";"2001";"me13";NA
"1050";"(1.2,1.8]";"2002";"me13";NA
"1054";"(1.2,1.8]";"2003";"me13";NA
"1058";"(1.2,1.8]";"2004";"me13";NA
"1062";"(1.2,1.8]";"2005";"me13";NA
"1066";"(1.2,1.8]";"2006";"me13";NA
"1070";"(1.2,1.8]";"2007";"me13";NA
"1074";"(1.2,1.8]";"2008";"me13";NA
"1078";"(1.2,1.8]";"2009";"me13";NA
"1082";"(1.2,1.8]";"2010";"me13";NA
"1086";"(1.2,1.8]";"2011";"me13";3
"1090";"(1.2,1.8]";"2012";"me13";NA
"1094";"(1.2,1.8]";"1992";"me2";0
"1098";"(1.2,1.8]";"1993";"me2";2
"1102";"(1.2,1.8]";"1994";"me2";5
"1106";"(1.2,1.8]";"1995";"me2";8
"1110";"(1.2,1.8]";"1996";"me2";0
"1114";"(1.2,1.8]";"1997";"me2";0
"1118";"(1.2,1.8]";"1998";"me2";19
"1122";"(1.2,1.8]";"1999";"me2";46
"1126";"(1.2,1.8]";"2000";"me2";5
"1130";"(1.2,1.8]";"2001";"me2";12
"1134";"(1.2,1.8]";"2002";"me2";6
"1138";"(1.2,1.8]";"2003";"me2";17
