day;month;year;area;Nst;sample;N.sample;B.sample
1;8;2011;Medvezhya;6;n2;6,55;1,28
4;8;2012;Medvezhya;6;n2;3,275;0,16
4;8;2013;Medvezhya;6;n2;15,975;0,26
26;7;1987;Medvezhya;7;n2;3;0,07
11;8;1988;Medvezhya;7;n2;4;0,16
29;7;1989;Medvezhya;7;n2;4;0,21
30;7;1990;Medvezhya;7;n2;4;0,22
1;8;1991;Medvezhya;7;n2;3;0,23
3;8;1992;Medvezhya;7;n2;9;0,29
14;8;1993;Medvezhya;7;n2;27;0,08
12;8;1994;Medvezhya;7;n2;9;0,75
9;8;1995;Medvezhya;7;n2;13;1,97
2;8;1996;Medvezhya;7;n2;12,55;0,85
24;7;1997;Medvezhya;7;n2;87,05;1,57
4;8;1998;Medvezhya;7;n2;167,95;0,49
16;8;1999;Medvezhya;7;n2;NA;NA
24;7;2000;Medvezhya;7;n2;3,275;0,19
13;8;2001;Medvezhya;7;n2;19,65;0,68
11;8;2002;Medvezhya;7;n2;51,2;0,83
10;8;2003;Medvezhya;7;n2;54,475;2,09
14;8;2004;Medvezhya;7;n2;67,975;2,44
2;8;2005;Medvezhya;7;n2;19,65;1,15
5;8;2006;Medvezhya;7;n2;13,1;0,53
8;8;2007;Medvezhya;7;n2;19,65;0,03
14;8;2008;Medvezhya;7;n2;44,65;1,02
15;8;2009;Medvezhya;7;n2;79,875;1,24
2;8;2010;Medvezhya;7;n2;32,75;0,41
1;8;2011;Medvezhya;7;n2;22,925;0,95
4;8;2012;Medvezhya;7;n2;29,075;1,57
4;8;2013;Medvezhya;7;n2;19,25;0,62
30;7;1987;Medvezhya;8;n2;1;0,14
20;8;1988;Medvezhya;8;n2;1;0,02
31;7;1989;Medvezhya;8;n2;2;0,45
31;7;1990;Medvezhya;8;n2;1;0,14
1;8;1991;Medvezhya;8;n2;2;0,25
3;8;1992;Medvezhya;8;n2;4;0,62
14;8;1993;Medvezhya;8;n2;4;0,07
12;8;1994;Medvezhya;8;n2;3;0,41
9;8;1995;Medvezhya;8;n2;41,95;2,46
2;8;1996;Medvezhya;8;n2;16;2,25
24;7;1997;Medvezhya;8;n2;30,65;1,21
4;8;1998;Medvezhya;8;n2;443,2;1,14
16;8;1999;Medvezhya;8;n2;NA;NA
24;7;2000;Medvezhya;8;n2;13,1;1,74
13;8;2001;Medvezhya;8;n2;67,975;4,27
11;8;2002;Medvezhya;8;n2;49,125;1,83
10;8;2003;Medvezhya;8;n2;48,725;2,76
14;8;2004;Medvezhya;8;n2;29,475;2,36
2;8;2005;Medvezhya;8;n2;32,35;1,22
5;8;2006;Medvezhya;8;n2;29,475;4,30
8;8;2007;Medvezhya;8;n2;6,55;0,89
14;8;2008;Medvezhya;8;n2;79,875;2,95
15;8;2009;Medvezhya;8;n2;129,8;2,71
2;8;2010;Medvezhya;8;n2;49,125;1,84
1;8;2011;Medvezhya;8;n2;88,425;5,90
4;8;2012;Medvezhya;8;n2;52,4;3,47
4;8;2013;Medvezhya;8;n2;87,625;4,13
15;7;1987;Seldyanaya;1;n3;3;0,57
4;8;1988;Seldyanaya;1;n3;0;0,00
21;7;1989;Seldyanaya;1;n3;2;0,35
21;7;1990;Seldyanaya;1;n3;8;0,07
27;7;1991;Seldyanaya;1;n3;3;0,19
22;7;1992;Seldyanaya;1;n3;16;0,57
24;7;1993;Seldyanaya;1;n3;50;0,65
9;8;1994;Seldyanaya;1;n3;0;0,00
4;8;1995;Seldyanaya;1;n3;0;0,00
27;7;1996;Seldyanaya;1;n3;15,55;4,08
20;7;1997;Seldyanaya;1;n3;24,1;0,78
25;7;1998;Seldyanaya;1;n3;22,1;2,38
15;8;1999;Seldyanaya;1;n3;NA;NA
13;8;2000;Seldyanaya;1;n3;32,75;0,13
6;8;2001;Seldyanaya;1;n3;68,775;6,58
4;8;2002;Seldyanaya;1;n3;22,925;0,24
5;8;2003;Seldyanaya;1;n3;49,125;6,03
7;8;2004;Seldyanaya;1;n3;19,65;1,78
23;7;2005;Seldyanaya;1;n3;218,225;2,73
