day;month;year;area;Nst;sample;N.sqmeter
20;7;1990;Seldyanaya;3;n2;2
25;7;1991;Seldyanaya;3;n2;4
28;7;1992;Seldyanaya;3;n2;11
30;7;1993;Seldyanaya;3;n2;22
9;8;1994;Seldyanaya;3;n2;0
4;8;1995;Seldyanaya;3;n2;0
25;7;1996;Seldyanaya;3;n2;12,55
22;7;1997;Seldyanaya;3;n2;49,3
31;7;1998;Seldyanaya;3;n2;76,2
15;8;1999;Seldyanaya;3;n2;NA
6;8;2000;Seldyanaya;3;n2;13,1
6;8;2001;Seldyanaya;3;n2;9,825
4;8;2002;Seldyanaya;3;n2;0
5;8;2003;Seldyanaya;3;n2;29,075
7;8;2004;Seldyanaya;3;n2;175,325
23;7;2005;Seldyanaya;3;n2;54,475
30;7;2006;Seldyanaya;3;n2;26,2
4;8;2007;Seldyanaya;3;n2;22,925
5;8;2008;Seldyanaya;3;n2;19,25
6;8;2009;Seldyanaya;3;n2;9,825
28;7;2010;Seldyanaya;3;n2;0
6;8;2011;Seldyanaya;3;n2;25,8
30;7;2012;Seldyanaya;3;n2;15,975
29;7;2013;Seldyanaya;3;n2;6,55
20;7;1987;Seldyanaya;4;n2;1
24;7;1990;Seldyanaya;4;n2;0
30;7;1991;Seldyanaya;4;n2;0
29;7;1992;Seldyanaya;4;n2;2
1;8;1993;Seldyanaya;4;n2;1
9;8;1994;Seldyanaya;4;n2;0
4;8;1995;Seldyanaya;4;n2;0
29;7;1996;Seldyanaya;4;n2;1
23;7;1997;Seldyanaya;4;n2;2
3;8;1998;Seldyanaya;4;n2;5
15;8;1999;Seldyanaya;4;n2;NA
6;8;2000;Seldyanaya;4;n2;19,25
6;8;2001;Seldyanaya;4;n2;0
4;8;2002;Seldyanaya;4;n2;22,925
5;8;2003;Seldyanaya;4;n2;6,55
7;8;2004;Seldyanaya;4;n2;47,925
23;7;2005;Seldyanaya;4;n2;32,35
30;7;2006;Seldyanaya;4;n2;3,275
4;8;2007;Seldyanaya;4;n2;16,375
5;8;2008;Seldyanaya;4;n2;0
28;7;2010;Seldyanaya;4;n2;38,5
6;8;2011;Seldyanaya;4;n2;3,275
30;7;2012;Seldyanaya;4;n2;6,55
29;7;2013;Seldyanaya;4;n2;3,275
1;8;1987;Medvezhya;5;n2;1
16;8;1988;Medvezhya;5;n2;3
25;7;1989;Medvezhya;5;n2;10
3;8;1990;Medvezhya;5;n2;5
3;8;1991;Medvezhya;5;n2;15
3;8;1992;Medvezhya;5;n2;7
16;8;1993;Medvezhya;5;n2;35
12;8;1994;Medvezhya;5;n2;14
9;8;1995;Medvezhya;5;n2;12,55
2;8;1996;Medvezhya;5;n2;16,55
24;7;1997;Medvezhya;5;n2;54,9
10;8;1998;Medvezhya;5;n2;125,85
16;8;1999;Medvezhya;5;n2;NA
30;7;2000;Medvezhya;5;n2;16,375
13;8;2001;Medvezhya;5;n2;25,8
11;8;2002;Medvezhya;5;n2;54,875
10;8;2003;Medvezhya;5;n2;26,2
14;8;2004;Medvezhya;5;n2;3,275
2;8;2005;Medvezhya;5;n2;9,825
