"Var1";"Var2";"Var3";"Freq"
"172";"1995";"3mg1";"high";NA
"173";"1996";"3mg1";"high";NA
"174";"1997";"3mg1";"high";NA
"175";"1998";"3mg1";"high";NA
"176";"1999";"3mg1";"high";NA
"177";"2000";"3mg1";"high";NA
"178";"2001";"3mg1";"high";NA
"179";"2002";"3mg1";"high";NA
"180";"2003";"3mg1";"high";NA
"181";"2004";"3mg1";"high";NA
"182";"2005";"3mg1";"high";NA
"183";"2006";"3mg1";"high";NA
"184";"2007";"3mg1";"high";2340
"185";"2008";"3mg1";"high";NA
"186";"2009";"3mg1";"high";NA
"187";"2010";"3mg1";"high";NA
"188";"2011";"3mg1";"high";NA
"189";"2012";"3mg1";"high";NA
"190";"1992";"3mg2";"high";NA
"191";"1993";"3mg2";"high";NA
"192";"1994";"3mg2";"high";NA
"193";"1995";"3mg2";"high";NA
"194";"1996";"3mg2";"high";NA
"195";"1997";"3mg2";"high";NA
"196";"1998";"3mg2";"high";NA
"197";"1999";"3mg2";"high";NA
"198";"2000";"3mg2";"high";NA
"199";"2001";"3mg2";"high";NA
"200";"2002";"3mg2";"high";NA
"201";"2003";"3mg2";"high";NA
"202";"2004";"3mg2";"high";NA
"203";"2005";"3mg2";"high";NA
"204";"2006";"3mg2";"high";NA
"205";"2007";"3mg2";"high";NA
"206";"2008";"3mg2";"high";NA
"207";"2009";"3mg2";"high";NA
"208";"2010";"3mg2";"high";NA
"209";"2011";"3mg2";"high";NA
"210";"2012";"3mg2";"high";NA
"211";"1992";"3mg3";"high";NA
"212";"1993";"3mg3";"high";NA
"213";"1994";"3mg3";"high";NA
"214";"1995";"3mg3";"high";NA
"215";"1996";"3mg3";"high";NA
"216";"1997";"3mg3";"high";NA
"217";"1998";"3mg3";"high";NA
"218";"1999";"3mg3";"high";NA
"219";"2000";"3mg3";"high";NA
"220";"2001";"3mg3";"high";NA
"221";"2002";"3mg3";"high";NA
"222";"2003";"3mg3";"high";NA
"223";"2004";"3mg3";"high";NA
"224";"2005";"3mg3";"high";NA
"225";"2006";"3mg3";"high";NA
"226";"2007";"3mg3";"high";NA
"227";"2008";"3mg3";"high";NA
"228";"2009";"3mg3";"high";NA
"229";"2010";"3mg3";"high";NA
"230";"2011";"3mg3";"high";NA
"231";"2012";"3mg3";"high";NA
"232";"1992";"3mg4";"high";NA
"233";"1993";"3mg4";"high";NA
"234";"1994";"3mg4";"high";NA
